lang,text
en," What is it that she's fallen for? What is the? There's too many people here. People that are that are brown or raping everybody and I'll just just just horrific. She thinks that Labour is bringing in she shallore which she said to me yesterday. Well it was Sharia last week. I'm not Sharia, Shikira. Shikira last year. She has called it Shikira as well. When I've asked her what's that about. We try and ask her question. We try and use your tactic. What sort of people is she? I've mentioned one. Not your fridge. Yeah, really? Not your fridge, Trump. Yeah. She just reposts and I think what happens with the Alcarimum, you know, you just, you see one thing and then you, I've actually looked on her TikTok and I was just disgusted."
en, 5 contact angel
en," I have never seen the crowd at a Trump rally as confused and as bored as the crowd was last night during Donald Trump's Montana rally where his cognitive decline was on full display. Now you guys have probably noticed it as well but over these past two or three weeks, Donald Trump has become especially unhinged basically since the day that VP Harris took the mantle and began running. Donald Trump has been declining at the NABJ. He broke down on stage in front of some black journalists. A few days ago he held a press conference where he was whining the entire time and the cherry on top was this rally last night where I want you to watch his crowd throughout. I'll point it out, we can break down some of his racist attacks against VP Harris. His desperate struggle to find anything to attack VP Harris and Sam Waltson also, his obsession with attacking President Biden even though Biden isn't running. So in this first clip, Trump makes it very, very clear that he has nothing solid against VP Harris. He's genuinely destroying stuff at the wall and seeing what sticks. Notice how desperate he sounds during this... Well, she has a couple of things that a lot of people from Montana would like. Like, she wants to take away your guns. You like that, right? Oh, alright, how about this? She wants to defund the police. Are you okay with that? He is really losing his spark. Let me point out. I mean, in 2016 he did have a different level of energy than we see today on stage. He seems a lot more tired. He's slurring a lot more. He doesn't seem to have that oomph behind what he's saying. She wants to allow millions of people to pour into our border through an invasion using an invasion process. I don't think so. Using an invasion process. He also seems a lot more mad and angry. He seems like an old grandpa who's lecturing their grandkids rather than somebody who's giving a speech to his supporters. I don't think that's for you. It's not for me either. It's not for most people in this country. We're going to evict crazy Kamalad. We're going to... He has nothing. They're so desperate to find anything. Anything to attack VP Harrison because the reality is Kamala and Tim Walls are the normal people. I think the electorate is starting to notice that. And notice Donald Trump as the radical lunate who's slurring his way through speeches. And can't go one second without making some sort of racist or sexist remark. But in this next clip. This really highlights..."
en," Oh hand Spong Vikings. The alright, what do I do?"
en," And I've often said the happiest people and the most contented people that I've seen. And I know the very wealthy, I know the moderately wealthy, and I guess I know people a lot less than that. But the happiest people tend to be the people that are making a nice income that really enjoy their life and their family life and not the people of tremendous wealth that are constantly driven to achieve more and more success. But when is enough enough? Obviously, there must have been a time of point when you knew that you would be secure for the rest of your life, your family, your relatives, whomever. Why do you go on? I go on really because I enjoy it. I really enjoy when I think about my business. I think about it literally 24 hours a day. And I really enjoy it. If I didn't, I will stop. There's no question in my mind that I'll stop. Because I do understand it's all basically a game. We're all here to play the game, and we're all hopefully going to play it well. But some people obviously can play it well because if everyone played it well, you'd have a pretty unusual situation. But the game is being played now by me and by plenty of other people. And the people that enjoy it are the people that are going to win it, in my opinion."
es," La carrera presidencial de los Estados Unidos se puso súper interesante y es que desde que Camala Harris tomó el lugar de Joe Biden en la candidatura del Partido Democrata, las cosas se complicaron para donar Trump. De hecho, la mayoría de las encuestas apuntaban a que Trump regresaría a la Casa Blanca tras las elecciones de noviembre. Pero ¿qué creen? Y los republicanos magas no contaban con la estucia de Camala Harris. Con decirte que el cambio en el ambiente electoral de los Estados Unidos puede tal magnitud, que hasta las encuestas señalan que Camala ya le dio la vuelta a Trump en las preferencias electorales. Checa lo que dicen los agregadores para la presidencia de los Estados Unidos al 13 de agosto. Por ejemplo, Tenayos Times comparte un promedio de las encuestas nacionales y dice que Harry lidera las preferencias con 48% sobre un 47% de Trump. Por otro lado tenemos el promedio de encuestas de Real Clirpolitics. Ellos también ponen a Camala como la líder de las preferencias con un 47.6%. Mientras que Trump se mantiene pegado con un 47.1%. Por último tenemos el promedio de encuestas de Farty Reik, que teniendo en cuenta la actualidad de cada encuesta, en tamaño de la muestra, la metodología y los efectos de las camaras, Camala Harris también se encuentra sobre Trump en esta medición, con un 46% contra un 43%. Así que como puedes ver, la contienda en Estados Unidos va a estar más cerrada de lo que pensaban. Y el encuentro entre Camala Harris y Donald Trump dará mucho de que hablar. Obvio la información de todas las encuestas la podrás encontrar en Pulse Mesh."
en, I'm not supposed to be here tonight. I'm not supposed to be here. But I'm not.
es," ¿Cómo va la carrera de sectorar en Estados Unidos? Las elecciones presidenciales en nuestro país, y no están más cerradas que nunca. La candidata democrata camara la Javiris acaba de rebasar en las encuestas al republicano Donald Trump, y es que según datos del Real Clear Politics, Javiris tiene el 47.8 de votos electorales por el 46.7 de Trump. Es decir, una diferencia de un punto porcentual. Puede parecer un número muy bajo, sin embargo, recordemos que cuando yo va a ir en sebajo de la candidatura, la diferencia de tres votos porcentuales en favor de Trump. Otras casas encuestadoras como Dehlicos da ventaja de cuatro puntos para Harris. Rasmus reports da ventaja de cinco puntos para Trump. Recordemos que las elecciones presidenciales no se definen por la cantidad de votos ciudadanos, sino por la suma de votos del colegio electoral en cada estado. Es decir, quien tenga 270 se convertían el nuevo presidente de Estados Unidos. ¿Qué opinas de esta cuestión? Síguenos para más noticias."
en, I break as a horse and my ego's another I beg you don't embarrass me Motherfucker
en," A man has claimed he warned police about a gunman three minutes before Donald Trump was shot. Speaking to the BBC, the witness said he was confused about why Trump was still speaking and hadn't been pulled off stage. He said he noticed the shooter, air crawling up the roof, 50 feet away from him. One person was killed and two others were critically injured in this assassination attempt in Pennsylvania. The Secret Service said Matthew Thomas Crooks, the 20-year-old suspect, was neutralised immediately."
en," My parents did. You know, we did a good job. And you're a handsome guy. Come on, let's go. That's a key part. That's my house. So once again, the photo is messing up. We'll go this way. That's so. Thank you."
en," Hi, Mr. Trump. I was Mrs. Wisconsin USA. I can see why. Thank you. I've been struggling with an incurable illness and in the hospital I received from you a handwritten letter that said to the bravest woman I know. I remember that. It's such a wonderful, beautiful woman. Are you coming along okay? No sir, but that's okay and I wanted to thank you. I have a seven year old son because of your efforts. It's sent him to college. That's so nice. Thank you. We're going to be watching you boy. Okay, but you're going to hopefully be around. You're not going to have to have anybody watching. Those doctors are going to be so wrong. I'm sorry. I have to go down and say hello. Is that okay?"
es," Hoy en Parlamento y debate, daremos una preve visita a la cartelera política, promueve a las elecciones en Estados Unidos de 4 de noviembre. Haremos un resumen de lo corrido en el mes de juyo y lo que va de agosto, debido a la forma en los sucesos nos decidí mencionar de la siguiente manera, política, cámara, acción. El escenario Hollywood político electoral en los Estados Unidos se ha presentado tres grandes proyecciones, la primera Terminator Trump, eso siendo un thriller de acción, protagonizado por el principal actor Donald Trump y como coactores el servicio secreto ineticiente de los Estados Unidos y un joven tirador inexperto, trata sobre el atentado a un precandidato a la Casa Blanca. Estuvo en cartelera diez días aproximadamente, teniendo un rey trin muy aceptable. Esta película está producida por Trump entre tenimes."
en," Go! What are you doing around here? Just playing with me, sorry? Playing very good. Yeah, playing very good. And now this is Steve's favorite. Come on, you wanted your industry to be with the booth? I would like to."
en," Black jobs who was talking about construction jobs laborers Weldings Mason's Carpeters if only there was a website. Oh, that's right the Department of Laborless all the statistics of who works what? I'm gonna just annihilate my group African Americans account for 6.2% of construction jobs while Hispanics hold down 30.4% Laborers are 11.8% African American while Hispanics are 26.7 Welders 9% Hispanic folks 16.7 Mason's 6.3% Hispanic people 35.1% Carpeters 7.1% Hispanic people 23.9% It's almost as if this information is readily available, but we just don't want to look at it unless it agrees with our narrative Google also has this really cool new feature where if you look stuff up it tells you So I look at jobs that are predominantly African American when it comes to the majority Healthcare support transportation security and law enforcement child care and social assistance and personal care and services So where are we going to put the goalpost now"
es," El expresidente estadounidense Donald Trump, en su mandato, quería que le pintaran de nuevo la casa blanca y pidió tres cotizaciones, contratista chino, tres millones, contratista europeo, siete millones, y contratista latino, diez millones. Después de un rato, Trump le preguntó al chino por qué pedía tres millones. El chino dijo, un millón en pintura, un millón en mano de obra y un millón de ganancia. Luego le preguntó al europeo por qué pedía siete millones. El europeo contestó, tres millones en pintura de alta calidad, dos millones en mano de obra especializada y dos millones de ganancia. Finalmente le preguntó al latino por qué pedía diez millones. El latino respondió, don't Trump son tres millones para usted, cuatro millones para mí y con los tres millones que sobran, le pagamos al chino para que pinte."
en," You got me sweaty, blue man, for your face, damn! You got me, damn! You got me, damn!"
en," You're an immigrant. Yes. Do you ever think he's gone too far? I follow the law. I follow a law the way supposed to be. I never thought to stay here without papers. I had visa, I travel every few months back to the country, to Slovenia, to stamp the visa. I came back, I applied for the green card. I applied for the citizenship later on after many years of green card. So I went by system, I went by the law. And you should do that. You should not just say, okay, let me just stay here. And what happened happens."
en," I'm the fucking, the fucking hands the hand to. Show me the bat. Show me the bat yet. There we go. Oh, where is your name? Oh my god. Oh my god."
en," I used to support Trump back in the day. I didn't really know anything about him. I just wanted to support him because all my other friends like Donald Trump. So I was like, okay, I'll like Donald Trump. Like it was like a band-marked thing. Now hear me out. Um, I know I look like a circus clown right now. Just just process. I went to a predominantly white high school middle school in elementary school. Like seeing a black person was like extremely rare at my school. Like there was no diversity. Okay. The coolest thing you could be like in my middle school and high school that I went to was literally a Republican, a conservative Republican at that. So why not follow the band-legged? And then everyone always used me as that one excuse. That one friend. If somebody was like, oh, like you're supporting Trump your racist. I'd be like, no, I'm not. I'm French and Julianne. Guilty. I literally looked so dumb. And I thought like finally all the white people at my school liked me. No. They didn't like me. They just liked that I liked what they liked. I didn't know Trump was bad until one time in my social studies class. We were watching the CNN news. Like it was like a 10 minute news thing. We were watching it. And afterwards I literally I clapped because Donald Trump was on the TV. I clapped. Nobody else even clapped. Like I was so pick me like choose me. Love me. If you couldn't fucking tell I wanted to fit in. So fucking bad. I think we've established that. So yeah, I clapped. So when I clapped, everybody looked at me and they were like, and I was like, whatever losers. No, I was the loser. I was the biggest loser of them all. So my friend comes up to me after class and she's like, why do you like Donald Trump? Like you're literally a minority. And I was like, cuz I love him. Because everybody else likes Donald Trump. Like why don't you like Donald Trump? Like what's the tea? So my girlfriend finally like explains to me how Trump is racist. He's a piece of shit. Like he's just a horrible person. And I was like, oh yeah, I didn't get that information. And of course I did it. Why would these white conservative Republican-ass people that I was friends with tell me all the like all the terrible things that he's done and the bad human being that he is. Why would they do that? You are who you're surround yourself with. And when I was younger, I surrounded myself with a bunch of Nimrods and idiot sandwiches. So I ended up like this. So once I found out he was a racist piece of shit, um, of course I stopped supporting him. And one of the most embarrassing things about supporting Trump was I literally used to have like a Trump sticker on my school laptop. And when I would come home, my mom would rip it off every time and I would really ask my conservative friends to give me more Trump stickers because my mom kept ripping it off. Like as she said, because we're immigrants. And like, I don't even know why like Trump because Trump didn't even like me, like especially me. It is with great pleasure that I announced that I obviously do not support him anymore. I haven't in like almost 10 years, like he's scary. I assume you realize the best thing you could do for yourself is to just form your own opinion. And also the best quality to have is being educated. Nobody likes a dumb bitch. It was me. I was a dumb bitch. Nobody liked me. This would be smart. Be educated. It's the sexiest thing a woman can be educated. Okay. Bye."
en," Walk away from arguments that lead you to anger and nowhere. Walk away from people who deliberately put you down. Walk away from the practice of pleasing people who choose to never see your worth. Walk away from any thought that undermines your peace of mind. Walk away from judgmental people they do not know the struggle you are facing and what you have been through. Walk away from your mistakes and fears. They do not determine your fate. The more you walk away from things that poison your soul, the healthier your life will be. When people make you feel unwanted, don't leave to make them feel sad or guilty. They won't leave because you no longer have a reason to stay. Sometimes you have to be strong for yourself. What is meant to be will end up good and what is not wrong. Love is worth fighting for. But sometimes you can't be the only one fighting. At times, people need to fight for you. If they don't, you just have to move on and realize what you gave them was more than they were willing to give you."
en, multinational
en," When Trump said that migrants are stealing black jobs, we know the type of jobs he was thinking about is like this, this, this, this. But these are stereotypes. But you know what? I'm here at the 84th Grand Conclave in Megaside, the 5th of our charity. We're better placed to ask, what type of jobs we African-Americans have? Because obviously it's not the stereotype. What do you do for 11? We tire more York City principle. What do you do for living? I work in sales in Columbus, Ohio. What do you do for living? I do technical sales. I build a pump up safety network. I'm a supervisor for a catering company for the airlines, so I make sure everyone is safe from going home all night. I saw a quenching lift, came to space and turned it. We work for the District Government. I'm an IT guy for health and non-human. I'm an IT project coordinator at the Oman Tech University. I'm a software manager. Sales. I'm an IT GIS agent, better-related, and a polygraph examiner for them. I work with non-profit organizations, support, standards, and individuals. We're neighbors, experience some level of trouble in the script. I'm an AVP program management, manage, project managers, business and this all over the world. I am the chief meteorologist for Telemundo and for the NBC affiliate and Delaware. Good question. What's up? What do you do for living? I work for all of my wrestling world. What do you do for living? I work for social media. I work for a student. I work for a student at Jesse Bittes County University. What do you study? I'm a psychology and I work for a student. I work for a student at the University of Illinois. I'm a school teacher. I'm an ACTROB professor, a physics professor. I work at United States Military Academy in the admissions department. I'm a retired colonel, United States Army, 31 years. I'm a professional, I'm a self-employed gas. I am a physician. I do sports medicine, occupational medicine. I work in a rich, poor Virginia area. I currently attend the United States Military Academy and I'm in the second degree of medicine. I'm in the United States Army. Sam Iten was born and God loves an infantry."
en," Trump revealed a new economic policy that hard working Americans are going to love. You know, people are saying to themselves where we better off four years ago or we better off now and it wasn't even close. We had the greatest economy in history, what we did in taxes, nobody's ever done it. So this is the first time I've said this and for those hotel workers and people that get tips, you're going to be very happy because when I get to office we are going to not charge taxes on tips, people making tips. Now when I was a bell hop they paid me about 425 an hour but I made hundreds of dollars in cash tips which we didn't report obviously because they can tax it but everything's on credit cards now. You can't hide it. Uncle Sam tax his tips. Biden hired 87,000 extra IRS agents gave him guns to do it. Trump's tip tax cut makes Biden look like a sinister old geaser. Sources in Delaware tell me Biden's a terrible tipper. Usually he has somebody else pay for him but when he does pay, no boy no a bad tipping president who taxes tips doesn't get reelected."
en," The reason why I voted for Trump is because I actually was a fellow for the Democratic Party. And so I just really did not like Hillary Clinton. I actually also did a lot of community work for Bernie Sanders as well. And I don't know, I was in this, I literally sat in the voting booth for like, it was a long time. And I don't know, I just like checked the box. Honestly, I thought it was, I honestly didn't even think he was going to win. So part of it was kind of a joke. But again, I, again, I don't know. But before I speak to the privilege that that holds for that election to be a joke for you, right? I wasn't really a joke. I was like, you know, just set it. Well, let me, let me, let me, let me recant when I met by a joke, you know. I didn't like either party, you know, I think it was like, if Bernie Sanders was on the ticket, I would have voted for Bernie Sanders because I really did at the time really love what he said, what he stood for because, you know, he really did a lot of grassroots. And I related to him as a Jewish American. And I thought that socialism was the answer. And then, you know, but then what happened with Hillary Clinton when she stole the election from him, you know, I just couldn't vote for her, she was a woman. So I did vote for Trump. Why not write in? Because that's not, that's wasting a vote. But it was a joke vote. So we're really like, okay, right."
es," ¿Sabes por qué Donald Trump odia México? Resulta que en 2007 Trump organizó el concurso mis universos en México, certamente el que en ese entonces era propietario, y aunque el evento resultó todo un éxito, tres años después de mando a la empresa comercializadora Ronnac, propiedad de la empresa aeroméjicanos Rodolfo Rosas-Moya, por incumplimiento de contrato. Dejón Trump se había acordado que dicho empresa financiera el concurso de belleza, sin embargo, como esto no sucedió, el magnate pidió como compensación que a Rosas-Moya le embargarán 26 propiedades en playa del Carmen, que habían sido puestas como garantía. Pero en principio el Tribunal concedió al expresidente de las propiedades, pero poco después, Rosas-Moya interpuso un amparo, ganó el caso y la recuperó. Así está derrota, fundó un golpe para Trump, por lo que muchos aseguran que contribuye al resentimiento que tienes a los mexicanos. Ya vez destacar que esta no es la única polémica de Rosas-Moya, este mismo año, focusado por el también empresario Fernando Varvachano, de embargar de forma ilegal sus propiedades en Yucatan, con el respaldo del gobernador del Estado, el panista Mauricio Vila. Y ya es conocer más sobre esta trama de corrupción, checa nuestro canal de YouTube."
en," more border patrol and more. I'm sorry. I'm off. What is he talking about? I really don't know what he said at the end of that sentence. I don't think he knows what he said either. We had the safest border in the city. And let him finish the job. He doesn't want to do it. He's become like a Palestinian. But they don't like him because he's a very bad Palestinian. He's a weak one. President Biden, you have a minute. I mean, I don't know how much foolish this is. Not only pushing these stages of convicted for his male and looking up right now. And the fact that the matter is he isn't. He cooked them. No, he cooked them. Unfortunately, he cooked them. But when he talks about a convicted fellow, his son is a convicted fellow. At a very high level, his son is convicted. He's been convicted probably numerous other times. Should have been convicted before, but his justice department let the statute of limitations laps in the most important things. But he could be a convicted fellow in the city. As he gets out of office, he'll have to be a convicted fellow with all of the things that he's done. My son was not a loser. He was not a sucker. You're the sucker. You're the loser. And by the way, about the punch of minutes face, is that? Look how mad he is. Bro, Trump is just showing this guy right now. Bro, look at the smirk on his face."
es," Escucho usted del expresidente de Estados Unidos Donald Trump le ha solicitado a la corte de Nueva York, que retrasen su sentencia hasta después de las elecciones presidenciales del mes de noviembre, según la carta enviada por sus abogados sentencia a Trump antes de la contienda, pues sería una interferencia electoral dicen. Los abogados pidieron este retraso para que Donald Trump pueda considerar los próximos pasos, traer la posible decisión del juez Juan Merchand sobre la solicitud de la defensa para anular el veredicto y desestimar el caso. El 5 de noviembre es el día de las elecciones, pero muchos estados permiten votar antes de esa fecha. Si Donald Trump es condenado en el mes de mayo por falsificar registros comerciales, esto podría influenciar en el voto de las personas. Ustedes que opinan."
es," Váigas se retira y Camala Harry centra a la contienda. Pareciera una luz de esperanza contra las terroríicas propuestas racistas de Trump, pero ¿de verdad Harry no haría un gobierno racista? Después de canalizar miles de millones de dólares a una guerra indirecta en Ucrania y a un genocidio en Gaza, el partido democrata intenta salvar sus posibilidades de ganar las elecciones en noviembre de este año y su apuesta se llama Camala Harry. ¿Quién es ella en verdad? A simple vista podríamos ver a Harry como un perfil progresista, una mujer demócrata, hija de padres migrantes de India y Jamaica. Camala tuvo la intención de presentarse en 2020 a la presidencia de los Estados Unidos, pero las encuestas no la favorecian. Después de la asesinato de George Floyd, algunos demócratas y progresistas se solidarizaron con el movimiento antipolicial. Harry era conocida por sus políticas severas en California, políticas racistas que utilizaban la justicia selectivamente. Así se ganó su título de Camala de Cop, Camala policía, título que no brillaba entre la gente con una postura antipolicial. En resumen, su imagen no era lo que buscaba la población de centro derecha en 2020 y definitivamente no era lo que buscaban los demócratas en ese momento. Camala se repira de la contienda y fue elegida como vicepresidente por de dazo de Joe Biden. Durante su periodo, sus mayores esfuerzos giraron alrededor de detener la migración del sur global hacia Estados Unidos. Es importante mencionar que la mayor parte de la clase dominante y los grandes capíticas capitalistas de Estados Unidos no quieren al impredecible de Donald Trump y apoyan a Camala porque esta representa la estabilidad económica para ellos. Al ser Camala vicepresidenta su elección tiene tintes de una reelección y de continuidad. Así, Camala seguiría con el legado de Biden y un legado que no aprobó un solo proyecto de ley para mejorar la vida del pueblo estadounidense y un legado imperialista que ha dado forma al genocidio más grande del siglo XXI. Camala sigue siendo el rostro del imperialismo. Después de saber esto, con demócratas o republicanos, habrá forma de librarnos del racismo."
en," Trump, what is your favorite Christmas song? My favorite Christmas song is O Holy Night. And what is yours? Mine is probably Jingle Bells. Oh, beautiful song. Beautiful song. So what's your favorite Christmas song?"
en," Nobody said to me the other day, you're the most famous person in the world by far. I said, no, I'm not. No, I'm not. He said, yes, you are. I said, no. He said, who's more famous? I said, Jesus Christ. I'm not taking any chances. I'm not going to have it on. Hey, I'm not having any arguments. Jesus Christ. I'm not going to take any chances, I'll give it a guarantee. You still need help from the boss. We need help from the boss. We need help. Yeah, we need help. It's all right to say it. Now they'll criticize me for that. How dare he say that. How dare he say that? No, I'll say it. I'll say it."
en, What you doing is right and that you're really smart and like a lot of us are really smart and we're smart
en, The
en," After you become the 47th president, what are you gonna do to stop the war in your Korean? Yeah. So I would literally start calling not from the day I took over but from the night I won. And I'd call two people. Two people. You know the two people are Putin, right? You know Putin is Zelensky. Zelensky. And I'd say we're gonna meet. We're gonna. That's what we would say. Here we get on the phone and here we go. We're gonna meet. And I would I guarantee I could work that I guarantee. I know exactly what I'd say by the way. I know exactly. I tell one guy this and I tell one guy that and I say you better make a deal. Trump's foreign policy ideas. Extremely convincing to nine year olds."
es, Coc solving Coc investigated Sin poner Son their
en," This is the front page of the New York Times right now and isn't it just beautiful? Democrats retain power in the Senate showing that Democrats officially have 50 Senate seats. Nevada and Arizona have been called, Pennsylvania has been called and Democrats won in all of them. Now we just need to win the Georgia Senate runoff to get 51 seats and expand our majority."
en, AbdulKing
en," Eliminate taxes on tips for service and hospitality workers. Because when I get to office, we are going to not charge taxes on tips. People making tips."
en, Auntie
ko," 재밌어 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아, 아 야오 robe엔tit 소금이plin"
en," Amela Harris needs to run her election campaign like a Taylor Swift album release, and I'm being so serious. Step number one, she needs to delete her entire social media and unfollow everyone, blackout everything. Step number two, she starts posting a three-part series that is going to reveal an announcement and is three pieces of a coconut tree. Finally, the last post has the caption, there will be no coconut tree, just the context of all in which she lived and what came before you. Then, later this month, at the Democrat National Convention, they need to start playing a video of all the bad things Donald Trump has said about Kamala Harris. And it will sound exactly like the reputation stadium tour intro where slowly it says coconut tree, coconut tree, and it gets louder until that's all that it's saying. And then all the music cuts, and you hear, you think you just fell out of a coconut tree? Ha ha ha ha! And then it goes completely dark and black and you hear the beginning notes of ready for it. And that's how she makes her entrance. She comes on stage wearing coconut tree earrings and she steps up to the podium and delivers the speech of a lifetime. Then, throughout the rest of the campaign, they still need to continue this strategy. They need to leave Easter eggs. They need to get people clues about who the vice presidential pick is going to be. I want limited edition variants of all of her merch. I mean, seriously, who is better at pushing something to winning when the race is really close? They need to get tree pain on the case, stat."
